index,timestamp
0,881250949
1,891717742
2,878887116
3,880606923
4,886397596
5,884182806
6,881171488
7,891628467
8,886324817
9,883603013
10,879372434
11,879781125
12,876042340
13,891035994
14,888104457
15,879485318
16,879270459
17,879539794
18,874834944
19,892079237
20,886176814
21,892738452
22,877881320
23,874833878
24,887736532
25,879196566
26,892430094
27,883748450
28,875747401
29,876861185
30,877052329
31,882075827
32,879539727
33,880731963
34,884238860
35,886890835
36,878962623
37,891295330
38,874791932
39,891350932
40,877888877
41,885329322
42,884114233
43,874791805
44,875333916
45,884921594
46,879741196
47,879641194
48,886519097
49,882823437
50,886271884
51,876535131
52,890618898
53,885853415
54,888205088
55,880037164
56,879877127
57,880474293
58,881107687
59,881103977
60,881171009
61,879667584
62,884112673
63,882141053
64,884920949
65,879024232
66,892738341
67,883326620
68,883698581
69,891550094
70,893277702
71,879987440
72,890251826
73,884923047
74,879546723
75,887249482
76,882823954
77,886475558
78,888906576
79,884364867
80,879539643
81,878192429
82,879540748
83,874791025
84,874835091
85,878183381
86,878971773
87,881108684
88,891903862
89,888954412
90,879361873
91,877635573
92,879876194
93,875296291
94,885557505
95,874781198
96,879373848
97,879375537
98,881961214
99,879857765
100,883709863
101,891383835
102,877531942
103,888905170
104,880234639
105,886397722
106,878090499
107,885848672
108,876860807
109,875320714
110,884207492
111,881107178
112,884288058
113,886987260
114,884304936
115,891384754
116,885844430
117,879373460
118,881375854
119,879376641
120,891720887
121,879966895
122,884182806
123,878347874
124,886122352
125,879524643
126,880037702
127,883815120
128,878089182
129,890687042
130,888082216
131,878769629
132,879791710
133,888904884
134,880245029
135,878092059
136,888205300
137,877533771
138,880605185
139,891352010
140,886434402
141,879876734
142,879551380
143,884714402
144,882139746
145,884538403
146,880605157
147,886323090
148,888954930
149,883955745
150,889502823
151,883698454
152,883452363
153,891449922
154,877878184
155,879525876
156,876860807
157,885678247
158,877886846
159,874724988
160,879456350
161,879467295
162,878870987
163,891387947
164,891383204
165,888067405
166,881108425
167,879371261
168,876973939
169,875537965
170,885412840
171,875744136
172,875636053
173,886324028
174,883612356
175,875975656
176,875298353
177,887401701
178,886472768
179,884183336
180,892174404
181,883601324
182,880130193
183,875542174
184,885680138
185,881515011
186,891347949
187,891353086
188,878183481
189,884128554
190,876923913
191,878955442
192,874786392
193,891723086
194,875801662
195,892428688
196,876857977
197,888906966
198,891385985
199,875216545
200,886443455
201,882164999
202,878542420
203,880036718
204,892910207
205,882140926
206,879455957
207,875654637
208,884386343
209,881105481
210,888549622
211,886272175
212,888104153
213,878962392
214,874724710
215,886323648
216,882922806
217,891170769
218,877399018
219,892838559
220,884238860
221,884304936
222,887665548
223,891383319
224,879455113
225,879521396
226,879454628
227,886987605
228,877877775
229,879524921
230,891446165
231,883599249
232,880937882
233,879467542
234,877727122
235,882078621
236,874793035
237,886323068
238,879541148
239,891438397
240,879875940
241,877819599
242,877531791
243,884128458
244,891632142
245,882826555
246,879484804
247,879374686
248,876018608
249,875653271
250,882078040
251,882157581
252,884150257
253,875747190
254,881961671
255,875307407
256,878089716
257,890881335
258,889502324
259,879525876
260,879485532
261,874775038
262,879966498
263,875742942
264,875744173
265,883601089
266,879394264
267,880308578
268,891542540
269,881368243
270,891374868
271,875744501
272,882076587
273,879283786
274,892334609
275,880308755
276,878961624
277,875240090
278,892430369
279,891352093
280,886122952
281,878961814
282,884140579
283,879456199
284,891450023
285,888205855
286,889651549
287,889124507
288,875936424
289,881104093
290,876250718
291,875155140
292,893265380
293,889452455
294,877488546
295,879873020
296,874775311
297,880134407
298,877563802
299,879436875
300,875308843
301,882076403
302,878963441
303,884140115
304,881515193
305,888732928
306,875270570
307,874786462
308,884114505
309,884197193
310,881105817
311,891964230
312,882078830
313,877720297
314,879197562
315,879138713
316,884733766
317,884196584
318,879436785
319,880606667
320,878183616
321,882140588
322,877722736
323,876956264
324,875270655
325,879465631
326,876041644
327,887646170
328,877136138
329,889909840
330,879967478
331,878961781
332,889911285
333,878542699
334,875072547
335,889906967
336,880937813
337,891725009
338,879967767
339,874784266
340,882077222
341,882075672
342,892440172
343,878769848
344,878181976
345,877488316
346,887739521
347,879467959
348,890588547
349,891435680
350,882126156
351,887347350
352,874792436
353,888442575
354,875747514
355,878970785
356,881515011
357,885775745
358,875806800
359,889241426
360,891384424
361,880129731
362,875656201
363,887739292
364,888105691
365,891560253
366,888206409
367,884129409
368,877726146
369,892302309
370,885848448
371,885849325
372,888640356
373,876197678
374,878182109
375,879876917
376,877879172
377,879454663
378,880130397
379,879664906
380,889503806
381,885849447
382,886324486
383,888068912
384,891722802
385,874953895
386,877888677
387,880433418
388,891560842
389,875975110
390,874951695
391,891409839
392,888073635
393,879527264
394,892334543
395,887740700
396,887737036
397,891447773
398,891721889
399,875310824
400,879455254
401,891390477
402,884196921
403,891732334
404,877544218
405,892079140
406,888465972
407,892434626
408,891456255
409,891353444
410,892078343
411,876197645
412,882922661
413,888801465
414,890704999
415,882827532
416,890116671
417,882165296
418,891299752
419,880605697
420,875314001
421,883956189
422,880309089
423,879528710
424,886474216
425,880579371
426,875239422
427,879641067
428,888106106
429,882075994
430,889737542
431,875653665
432,878181739
433,875310745
434,888905550
435,878955442
436,876861185
437,882139901
438,888205921
439,875636198
440,879454956
441,886432749
442,881260203
443,878870518
444,874786926
445,879968827
446,889179478
447,878962955
448,875086354
449,878089963
450,884114275
451,883327734
452,878961814
453,887038665
454,875334088
455,880245642
456,880233810
457,880434463
458,875660408
459,882774224
460,878956338
461,875806672
462,881009697
463,885678886
464,891904214
465,879216672
466,879517412
467,891451610
468,881705026
469,878089921
470,881433689
471,884112077
472,882049932
473,891679939
474,891438875
475,891436202
476,878961586
477,893264301
478,887431883
479,879468375
480,879737314
481,879465242
482,877563913
483,892668197
484,888906655
485,890595859
486,879544791
487,884402860
488,880037334
489,881171009
490,891352178
491,886977926
492,888625753
493,891457067
494,891299514
495,884150257
496,875244204
497,880036515
498,885852757
499,880473582
500,893266205
501,877618584
502,886121516
503,884129962
504,879465653
505,889909024
506,875746985
507,882397650
508,884183063
509,889655435
510,879376178
511,884923505
512,880934806
513,875747688
514,891904596
515,875653723
516,879362356
517,879283480
518,879468459
519,882164603
520,880036854
521,889402389
522,880125101
523,888103872
524,889127811
525,891720862
526,881200457
527,874953794
528,879966954
529,891723593
530,885613067
531,883245452
532,886474580
533,879365491
534,879524293
535,881014015
536,889123257
537,889174849
538,874787526
539,892079140
540,878962006
541,874951293
542,888905229
543,886123656
544,877886722
545,891409070
546,874792945
547,887736584
548,875246759
549,883681514
550,876518557
551,880572642
552,884208173
553,880484286
554,878962918
555,881368891
556,892335501
557,891382309
558,889124890
559,879966839
560,887855283
561,880606634
562,891382310
563,886890787
564,886323684
565,874781742
566,874951382
567,888605273
568,891700453
569,886374129
570,890780576
571,882078228
572,880036783
573,891382392
574,887738760
575,888203053
576,891721462
577,875216933
578,891352136
579,892679480
580,884714249
581,879373613
582,874791871
583,878963121
584,880147407
585,882824291
586,889070087
587,891271203
588,879024127
589,887737293
590,884050393
591,891447062
592,877122695
593,881059677
594,891390544
595,891448072
596,882141924
597,880485043
598,891448800
599,889179253
600,888513447
601,892679460
602,879519556
603,885848102
604,881059117
605,882126156
606,877892210
607,878887112
608,889242857
609,884714492
610,875313859
611,891449406
612,883600680
613,879988184
614,884125629
615,881703044
616,879633567
617,875384647
618,879297545
619,891034835
620,884151119
621,877891747
622,888513664
623,891264267
624,884923445
625,883670672
626,874790826
627,880607205
628,893265263
629,883888671
630,879373008
631,874792907
632,891544052
633,876504354
634,878183043
635,891700751
636,883326122
637,892683275
638,881105817
639,875072442
640,882397582
641,877556988
642,879455311
643,883524249
644,891702304
645,880604077
646,878746946
647,891352134
648,882826915
649,882823833
